Campaign Name,Ad Group Name,SKU,Keyword,Match Type,Bid
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,heavy duty dog leash,Exact,2.50
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,strong dog leash for large dogs,Exact,2.85
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,reflective dog leash,Exact,2.20
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,anti pull dog leash,Exact,2.40
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,tactical dog leash,Exact,2.15
SP - Manual - Dog Leash - Gap Fill,Attack (Heavy Duty),LEASH-RED-001,chew proof dog leash,Exact,2.60
SP - Manual - Dog Leash - Gap Fill,Defense (Standard),LEASH-RED-001,dog leash,Phrase,1.10
SP - Manual - Dog Leash - Gap Fill,Defense (Standard),LEASH-RED-001,6ft dog leash,Phrase,1.25
SP - Manual - Dog Leash - Gap Fill,Defense (Standard),LEASH-RED-001,red nylon leash,Phrase,0.95
SP - Manual - Dog Leash - Gap Fill,Defense (Standard),LEASH-RED-001,classic dog leash,Phrase,0.80
SP - Manual - Dog Leash - Gap Fill,Defense (Standard),LEASH-RED-001,basic pet leash,Phrase,0.75
