Campaign Name,Ad Group Name,SKU,Keyword,Match Type,Bid
SP - Manual - Pure Mg - Defense+Conquest,Brand Defense,MG-120-CAPS,pure mg glycinate,Exact,3.50
SP - Manual - Pure Mg - Defense+Conquest,Brand Defense,MG-120-CAPS,pure mg magnesium,Phrase,3.00
SP - Manual - Pure Mg - Defense+Conquest,Brand Defense,MG-120-CAPS,pure mg supplement,Phrase,2.80
SP - Manual - Pure Mg - Defense+Conquest,Competitor Conquest,MG-120-CAPS,thorne magnesium glycinate,Exact,4.50
SP - Manual - Pure Mg - Defense+Conquest,Competitor Conquest,MG-120-CAPS,nature made magnesium,Exact,3.20
SP - Manual - Pure Mg - Defense+Conquest,Competitor Conquest,MG-120-CAPS,doctors best magnesium,Exact,3.10
SP - Manual - Pure Mg - Defense+Conquest,Competitor Conquest,MG-120-CAPS,pure encapsulations magnesium,Exact,4.00
SP - Manual - Pure Mg - Defense+Conquest,Benefit Targeting (Sleep),MG-120-CAPS,magnesium for sleep,Exact,2.50
SP - Manual - Pure Mg - Defense+Conquest,Benefit Targeting (Sleep),MG-120-CAPS,sleep aid natural,Phrase,2.10
SP - Manual - Pure Mg - Defense+Conquest,Benefit Targeting (Cramps),MG-120-CAPS,magnesium for leg cramps,Exact,2.25
SP - Manual - Pure Mg - Defense+Conquest,Benefit Targeting (Cramps),MG-120-CAPS,muscle recovery supplement,Broad,1.80
